CHLORDANE,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
CHLORFENAPYR,,,,0.3,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.3 mg/kg | Basis Ab2008
CHLORFENVINPHOS,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
CHLOROTHALONIL,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Bh2006
CHLORPYRIFOS-METHYL,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
CLODINAFOP-PROPARGYL,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
CLOMAZONE,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
CLOPIDOL,,,,0.2,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.2 mg/kg | Basis Bh2006
CLOTHIANIDIN,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ag2006
COPPER NONYLPHENOLSULFONATE,,,,5.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 5 mg/kg | Basis Bh2006
CYANTRANILIPROLE,,,,0.7,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.7 mg/kg | Basis Aa2022
CYCLOXYDIM,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
CYHALOTHRIN,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Ag2006
CYPERMETHRIN,,,,0.7,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.7 mg/kg | Basis Aa2022
CYPRODINIL,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ac2014
CYROMAZINE,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Aa2009
DBEDC,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Bh2006
DDT,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Bh2006
DEMETON-S-METHYL,,,,0.4,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.4 mg/kg | Basis Bh2006
DIAFENTHIURON,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
DICHLOFLUANID,,,,5.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 5 mg/kg | Basis Bh2006
DICHLORVOS and NALED,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Ag2006
DICLOMEZINE,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
DICOFOL,,,,3.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 3 mg/kg | Basis Bh2006
DIFENOCONAZOLE,,,,0.07,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.07 mg/kg | Basis Aa2014
DIFENZOQUAT,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
DIFLUFENZOPYR,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
DIHYDROSTREPTOMYCIN and STREPTOMYCIN,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
DIMETHIPIN,,,,0.04,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.04 mg/kg | Basis Bh2006
DIMETHOATE,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Bh2006
DINOTEFURAN,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2007
DIPHENYLAMINE,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
DIQUAT,,,,0.01,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.01 mg/kg | Basis Ab2020
DISULFOTON,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
DITHIOCARBAMATES,,,,2.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 2 mg/kg | Basis Bh2006
DIURON,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
DODINE,,,,0.2,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.2 mg/kg | Basis Bh2006
ENDOSULFAN,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Bh2006
ENDRIN,,,,0.01,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.01 mg/kg | Basis Bh2006
ETHEPHON,,,,2.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 2 mg/kg | Basis Bh2006
ETHION,,,,0.3,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.3 mg/kg | Basis Bh2006
ETHIPROLE,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Ab2015
ETHYLENE DIBROMIDE (EDB),,,,0,NON_DETECT,JFCRF food_group_detail:11600,Source limit N.D. (Not Detected); encoded operationally as 0 mg/kg to fail closed on any detected residue | Basis Bh2006
ETHYLENE DICHLORIDE,,,,0.01,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.01 mg/kg | Basis Bh2006
ETOFENPROX,,,,5.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 5 mg/kg | Basis Ab2015
ETOXAZOLE,,,,0.3,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.3 mg/kg | Basis Ab2009
FENBUTATIN OXIDE,,,,5.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 5.0 mg/kg | Basis Ag2006
FENOXAPROP-ETHYL,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Bh2006
FENOXYCARB,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
FENPROPATHRIN,,,,0.7,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.7 mg/kg | Basis Ab2021
FENPROPIMORPH,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
FENPYROXIMATE,,,,0.4,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.4 mg/kg | Basis Ac2022
FENTHION,,,,5.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 5 mg/kg | Basis Ac2012
FENTIN,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
FENVALERATE,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1.0 mg/kg | Basis Ag2006
FLOMETOQUIN,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Ab2021
FLONICAMID,,,,3.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 3 mg/kg | Basis Ab2023
FLUAZINAM,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Ab2025
FLUCYTHRINATE,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
FLUDIOXONIL,,,,5.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 5 mg/kg | Basis Ad2018
FLUFENOXURON,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2015
FLUOMETURON,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
FLUOPYRAM,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Aa2025
FLUPYRADIFURONE,,,,0.6,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.6 mg/kg | Basis Ac2023
FLUROXYPYR,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
FLUXAPYROXAD,,,,0.7,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.7 mg/kg | Basis Ac2019
FORCHLORFENURON,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Bh2006
FOSETYL-ALUMINIUM,,,,50.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 50 mg/kg | Basis Bh2006
GIBBERELLIN,,,,0,PHYSIOLOGICAL_LEVEL,JFCRF food_group_detail:11600,Source symbol ※ means no more than physiological level contained naturally; no numeric threshold is published
GLUFOSINATE,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Aa2014
GLYPHOSATE,,,,0.2,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.2 mg/kg | Basis Ag2006
HALOXYFOP,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
HEXACHLOROBENZENE,,,,0.01,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.01 mg/kg | Basis Bh2006
HYDROGEN CYANIDE,,,,5.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 5 mg/kg | Basis Bh2006
HYDROGEN PHOSPHIDE,,,,0.01,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.01 mg/kg | Basis Bh2006
HYMEXAZOL,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Bh2006
IMAZALIL,,,,2.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 2.0 mg/kg | Basis Ag2006
IMAZAQUIN,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
IMAZETHAPYR AMMONIUM,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
IMIDACLOPRID,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2010
IMINOCTADINE,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2020
IOXYNIL,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Bh2006
IPRODIONE,,,,5.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 5 mg/kg | Basis Ab2024
KRESOXIM-METHYL,,,,0.3,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.3 mg/kg | Basis Ab2013
LENACIL,,,,0.3,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.3 mg/kg | Basis Ag2006
LINDANE,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Bh2006
LINURON,,,,0.2,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.2 mg/kg | Basis Bh2006
MALATHION,,,,8.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 8 mg/kg | Basis Ag2006
MALEIC HYDRAZIDE,,,,0.2,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.2 mg/kg | Basis Ag2006
MEPANIPYRIM,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2017
METCONAZOLE,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Ac2014
METHIDATHION,,,,0.2,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.2 mg/kg | Basis Bh2006
METHIOCARB,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Ag2006
METHOMYL (repeated/see THIODICARB and METHOMYL),,,,3.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 3 mg/kg | Basis Bh2006
METHOXYCHLOR,,,,0.01,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.01 mg/kg | Basis Bh2006
METOMINOSTROBIN,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2022
MYCLOBUTANIL,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ag2006
NALED (repeated/see DICHLORVOS and NALED),,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Ag2006
NITENPYRAM,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2017
OMETHOATE,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Bh2006
ORYZALIN,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Bh2006
OXADIXYL,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Bh2006
OXATHIAPIPROLIN,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Ac2022
OXINE-COPPER,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Ab2014
OXYDEMETON-METHYL,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
OXYFLUORFEN,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Ac2012
PACLOBUTRAZOL,,,,0.01,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.01 mg/kg | Basis Ag2006
PARAQUAT,,,,0.01,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.01 mg/kg | Basis Aa2024
PARATHION,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
PARATHION-METHYL,,,,0.2,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.2 mg/kg | Basis Ag2006
PENCONAZOLE,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
PENDIMETHALIN,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Ac2022
PHORATE,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
PHOSMET,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Bh2006
PHOXIM,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
PINDONE,,,,0.001,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.001 mg/kg | Basis Bh2006
PIPERONYL BUTOXIDE,,,,8.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 8 mg/kg | Basis Bh2006
PIRIMICARB,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.50 mg/kg | Basis Ag2006
PIRIMIPHOS-METHYL,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.10 mg/kg | Basis Ag2006
POLYOXIN COMPLEX,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Ab2022
PROCHLORAZ,,,,2.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 2 mg/kg | Basis Ag2006
PROCYMIDONE,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Ab2018
PROFENOFOS,,,,0.2,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.2 mg/kg | Basis Aa2017
PROPOXUR,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Bh2006
PYRACLOSTROBIN,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Aa2010
PYRAFLUFEN ETHYL,,,,0.01,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.01 mg/kg | Basis Ab2022
PYRAZOLYNATE,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
PYRETHRINS,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ag2006
PYRIDABEN,,,,0.7,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.7 mg/kg | Basis Ab2013
PYRIFLUQUINAZON,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2021
PYRIPROXYFEN,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2021
QUINALPHOS,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Ag2006
QUINOFUMELIN,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2025
QUINTOZENE,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
RESMETHRIN,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Bh2006
SAFLUFENACIL,,,,0.03,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.03 mg/kg | Basis Ac2013
SIMAZINE,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Bh2006
SPINETORAM,,,,0.3,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.3 mg/kg | Basis Ab2021
SPINOSAD,,,,0.3,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.3 mg/kg | Basis Ab2012
SPIRODICLOFEN,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ac2013
SPIROTETRAMAT,,,,0.3,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.3 mg/kg | Basis Aa2025
STREPTOMYCIN(repeated/see DIHYDROSTREPTOMYCIN and STREPTOMYCIN),,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
SULFENTRAZONE,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
SULFOXAFLOR,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Ac2022
TEBUCONAZOLE,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Ac2014
TEBUFENOZIDE,,,,0.7,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.7 mg/kg | Basis Ab2010
TEBUFENPYRAD,,,,0.2,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.2 mg/kg | Basis Ab2019
TECNAZENE,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
TERBACIL,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Bh2006
TERBUFOS,,,,0.005,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.005 mg/kg | Basis Bh2006
THIABENDAZOLE,,,,3.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 3 mg/kg | Basis Bh2006
THIAMETHOXAM,,,,0.2,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.2 mg/kg | Basis Ab2009
THIODICARB and METHOMYL,,,,3.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 3 mg/kg | Basis Bh2006
"THIOPHANATE (repeated/see CARBENDAZIM, THIOPHANATE, THIOPHANATE-METHYL and BENOMYL)",,,,2.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 2 mg/kg | Basis Bh2006
"THIOPHANATE-METHYL (repeated/see CARBENDAZIM, THIOPHANATE, THIOPHANATE-METHYL and BENOMYL)",,,,2.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 2 mg/kg | Basis Bh2006
TRI-ALLATE,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Bh2006
TRIADIMEFON,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
TRIADIMENOL,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
TRICHLORFON,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.50 mg/kg | Basis Ag2006
TRICLOPYR,,,,0.03,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.03 mg/kg | Basis Bh2006
TRIDEMORPH,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
TRIFLOXYSTROBIN,,,,0.6,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.6 mg/kg | Basis Ac2025 | Time-limit 0.7 (2026.12.15)
TRIFLUMIZOLE,,,,0.7,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.7 mg/kg | Basis Ab2015
TRIFLUMURON,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
TRIFLURALIN,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Ag2006
WARFARIN,,,,0.001,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.001 mg/kg | Basis Bh2006
