# Source: European Commission EU Pesticides Database backend API
# Endpoint: https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/backend/api/product/76/mrls?lang=EN
# Product: Mangoes (Mangifera indica)
# Product code: 0163030
# Extracted: 2026-04-05
# Raw Commission row count: 520
# Merged unique operational row count: 516
# Explicit no-numeric-MRL row count: 13
# Official default fallback when no specific mango row exists: 0.01 mg/kg (Regulation (EC) No 396/2005 Article 18(1)(b); see Commission database footnotes such as Fosetyl).
name,aliases,cas,thaiMrl,destinationMrl,destinationLimitType,sourceRef,note
Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Ametoctradin (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Amidosulfuron (R),(A)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Aminopyralid (sum of aminopyralid, its salts and its conjugates, expressed as aminopyralid) (R)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Amisulbrom,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Amitraz (amitraz including the metabolites containing the 2,4 -dimethylaniline moiety expressed as amitraz)",,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Amitrole,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Anilazine,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Anthraquinone (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Aramite (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Asulam,,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Atrazine (F),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Azadirachtin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Azimsulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Azinphos-ethyl (F),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Azinphos-methyl (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Azocyclotin and Cyhexatin (sum of azocyclotin and cyhexatin expressed as cyhexatin),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Azoxystrobin,,,,4,NUMERIC,EC EU Pesticides Database product/76,
Barban (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Beflubutamid,,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Benalaxyl including other mixtures of constituent isomers including benalaxyl-M (sum of isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Benfluralin (F),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Bensulfuron-methyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Bentazone (Sum of bentazone, its salts and 6-hydroxy (free and conjugated) and 8-hydroxy bentazone (free and conjugated), expressed as bentazone) (R)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
"Benthiavalicarb (Benthiavalicarb-isopropyl(KIF-230 R-L) and its enantiomer (KIF-230 S-D) and its diastereomers(KIF-230 S-L and KIF-230 R-D), expressed as benthiavalicarb-isopropyl) (A)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Benzalkonium chloride (mixture of alkylbenzyldimethylammonium chlorides with alkyl chain lengths of C8, C10, C12, C14, C16 and C18)",,,,0.1,NUMERIC,EC EU Pesticides Database product/76,Footnotes: These MRLs shall be reviewed by [[smartdate]]. Reassessment of data may lead to modification of MRLs.
Benzovindiflupyr,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Bicyclopyrone (sum of bicyclopyrone and its structurally related metabolites determined as the sum of the common moieties 2-(2- methoxyethoxymethyl)-6-(trifluoromethyl) pyridine-3-carboxylic acid (SYN503780) and (2-(2-hydroxyethoxymethyl)-6- (trifluoromethyl)pyridine-3-carboxylic acid (CSCD686480), expressed as bicyclopyrone)",,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL.
Bifenazate (sum of bifenazate plus bifenazate-diazene expressed as bifenazate) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Bifenox (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Bifenthrin (sum of isomers) (F),,,,0.5,NUMERIC,EC EU Pesticides Database product/76,
Biphenyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Bispyribac (sum of bispyribac, its salts and its esters, expressed as bispyribac)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Bitertanol (sum of isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Bixafen (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Bone oil,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Boscalid (R),(F)",,,,2,NUMERIC,EC EU Pesticides Database product/76,
Bromadiolone,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Bromide ion,,,,50,NUMERIC,EC EU Pesticides Database product/76,
Bromophos-ethyl (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Bromopropylate (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Bromoxynil and its salts, expressed as bromoxynil",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Bromuconazole (sum of diasteroisomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Bupirimate (R),(F),(A)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Buprofezin (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Butralin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Butylate,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Cadusafos,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Camphechlor (Toxaphene) (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Captafol (F),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
"Captan (Sum of captan and THPI, expressed as captan) (R)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
Carbaryl (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Carbendazim and benomyl (sum of benomyl and carbendazim expressed as carbendazim) (R),,,,0.5,NUMERIC,EC EU Pesticides Database product/76,
Carbetamide (sum of carbetamide and its S isomer),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Carbofuran (sum of carbofuran (including any carbofuran generated from carbosulfan, benfuracarb or furathiocarb) and 3-OH carbofuran expressed as carbofuran) (R)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Carbon monoxide,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Carbon tetrachloride,,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL.
"Carboxin (carboxin plus its metabolites carboxin sulfoxide and oxycarboxin (carboxin sulfone), expressed as carboxin)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
"Carfentrazone-ethyl (sum of carfentrazone-ethyl and carfentrazone, expressed as carfentrazone-ethyl) (R)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Cartap,,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL.
Chlorantraniliprole (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlorate (A),,,,0.3,NUMERIC,EC EU Pesticides Database product/76,
Chlorbenside (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlorbufam (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Chlordane (sum of cis- and trans-chlordane) (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlordecone (F),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,
Chlorfenapyr,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlorfenson (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlorfenvinphos (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Chloridazon (sum of chloridazon and chloridazon-desphenyl, expressed as chloridazon) (R)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
"Chlormequat (sum of chlormequat and its salts, expressed as chlormequat-chloride)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlorobenzilate (F),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Chloropicrin,,,,0.005,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.005*
Chlorothalonil (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlorotoluron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chloroxuron (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlorpropham (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlorpyrifos (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Chlorpyrifos-methyl (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlorsulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlorthal-dimethyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlorthiamid,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chlozolinate (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Chromafenozide,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Cinidon-ethyl (sum of cinidon ethyl and its E-isomer),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Clethodim (sum of Sethoxydim and Clethodim including degradation products calculated as Sethoxydim),,,,0.1,NUMERIC,EC EU Pesticides Database product/76,
"Clodinafop and its S-isomers and their salts, expressed as clodinafop (F)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Clofentezine (R),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Clomazone,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Clopyralid,,,,0.5,NUMERIC,EC EU Pesticides Database product/76,
Clothianidin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Copper compounds (Copper),,,,20,NUMERIC,EC EU Pesticides Database product/76,
Coumaphos,,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL.
Cyanamide including salts expressed as cyanamide,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Cyantraniliprole,,,,0.7,NUMERIC,EC EU Pesticides Database product/76,
Cyazofamid,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Cyclanilide (F),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Cyclaniliprole,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Cycloxydim including degradation and reaction products which can be determined as 3-(3-thianyl)glutaric acid S-dioxide (BH 517-TGSO2) and/or 3-hydroxy-3-(3-thianyl)glutaric acid S-dioxide (BH 517-5-OH-TGSO2) or derivatives thereof, calculated in total as cycloxydim",,,,0.09,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.09*
"Cyflufenamid (sum of cyflufenamid (Z-isomer) and its E-isomer, expressed as cyflufenamid) (R),(A)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Cyflumetofen (sum of isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Cyfluthrin (cyfluthrin including other mixtures of constituent isomers (sum of isomers)) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Cyhalofop-butyl,,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Cymoxanil,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Cypermethrin (cypermethrin including other mixtures of constituent isomers (sum of isomers)) (F),,,,0.7,NUMERIC,EC EU Pesticides Database product/76,
Cyproconazole (F),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
"Cyprodinil (R),(F)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Cyromazine,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"DDT (sum of p,p´-DDT, o,p´-DDT, p-p´-DDE and p,p´-TDE (DDD) expressed as DDT) (F)",,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
DNOC,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Dalapon,,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
"Daminozide (sum of daminozide and 1,1-dimethyl-hydrazine (UDHM), expressed as daminozide)",,,,0.06,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.06*
Deltamethrin (cis-deltamethrin) (F),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,
"Denatonium benzoate (sum of denatonium and its salts, expressed as denatonium benzoate)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Desmedipham,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Di-allate (sum of isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Diazinon (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Dicamba,,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Dichlobenil,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Dichlorprop (Sum of dichlorprop (including dichlorprop-P), its salts, esters and conjugates, expressed as dichlorprop) (R)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Dichlorvos,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Dicloran,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Dicofol (sum of p, p´ and o,p´ isomers) (F)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Footnotes: These MRLs shall be reviewed by [[smartdate]]. Reassessment of data may lead to modification of MRLs.
Diethofencarb,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Difenacoum,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Difenoconazole,,,,0.1,NUMERIC,EC EU Pesticides Database product/76,
"Diflubenzuron (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Diflufenican (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Difluoroacetic acid (DFA),,,,0.2,NUMERIC,EC EU Pesticides Database product/76,
Dimethachlor,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Dimethenamid including other mixtures of constituent isomers including dimethenamid-P (sum of isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Dimethipin,,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Dimethoate,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Dimethomorph (sum of isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Dimoxystrobin (R),(A)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Diniconazole (sum of isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Dinocap (sum of dinocap isomers and their corresponding phenols expressed as dinocap) (Where only meptyldinocap or its corresponding phenol are detected but none of the other components constituting dinocap (including their corresponding phenols), the MRLs and residue definition of meptyldinocap are to be applied.) (F)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
"Dinoseb (sum of dinoseb, its salts, dinoseb-acetate and binapacryl, expressed as dinoseb)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Dinotefuran,,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL.
"Dinoterb (sum of dinoterb, its salts and esters, expressed as dinoterb)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Dioxathion (sum of isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Diphenylamine,,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Diquat,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Disulfoton (sum of disulfoton, disulfoton sulfoxide and disulfoton sulfone expressed as disulfoton) (F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Dithianon,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Dithiocarbamates (dithiocarbamates expressed as CS2, including maneb, mancozeb, metiram, propineb, thiram and ziram)",,,,2,NUMERIC,EC EU Pesticides Database product/76,Footnotes: (mz)
Diuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Dodemorph,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Dodine,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
EPTC (ethyl dipropylthiocarbamate),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Emamectin B1a and its salts, expressed as emamectin B1a (free base) (R),(F)",,,,0.002,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.002*
Endosulfan (sum of alpha- and beta-isomers and endosulfan-sulphate expressed as endosulfan) (F),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Endrin (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Epoxiconazole (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Ethalfluralin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Ethametsulfuron-methyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Ethephon,,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Ethion,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Ethirimol (R),(F),(A)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Ethofumesate (Sum of ethofumesate, 2-keto–ethofumesate, open-ring-2-keto-ethofumesate and its conjugate, expressed as ethofumesate)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
Ethoprophos,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Ethoxyquin (F),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Ethoxysulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Ethylene oxide (sum of ethylene oxide and 2-chloro-ethanol expressed as ethylene oxide) (F),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Etofenprox (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Etoxazole,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Etridiazole,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Famoxadone (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fenamidone,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fenamiphos (sum of fenamiphos and its sulphoxide and sulphone expressed as fenamiphos),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fenarimol,,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Fenazaquin (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fenbuconazole (sum of constituent enantiomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fenbutatin oxide (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fenchlorphos (sum of fenchlorphos and fenchlorphos oxon expressed as fenchlorphos),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fenhexamid (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fenitrothion,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fenoxaprop-P,,,,0.1,NUMERIC,EC EU Pesticides Database product/76,
Fenoxycarb,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Fenpicoxamid (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fenpropathrin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Fenpropidin (sum of fenpropidin and its salts, expressed as fenpropidin) (R),(A)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Fenpropimorph (sum of isomers) (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
